序号,组件名称,业务说明（简要）,详细能力范围
19,额度管理组件,额度测算、占用与调整,"1、维护客户授信额度、用信额度、可用额度等信息，支持多维度（客户/授信/产品/机构等）管理
2、支持在预授信、授信审批、额度激活、签约、提款等不同业务阶段进行额度测算与额度占用/释放
3、支持额度调整、额度激活等业务，由授信管理组件或渠道端组件发起，审批通过后生效
4、提供额度集中度、限额控制等能力，为监管与内部风险偏好管控提供支撑"
20,用信管理组件,用信/贷款记录与放款前后状态,"1、记录每笔用信/贷款的申请信息、审批结论、合同关联、放款状态等
2、与贷款申请组件、进件管理组件、工作流/审批流组件、合同管理组件协同，完成从用信申请到审批、签约、放款的全流程信息沉淀
3、支持部分提款、多次提款、循环额度用信等复杂用信模式
4、为放款组件、还款组件、贷后管理组件提供用信数据基础"
21,合同管理组件,合同实例生命周期管理,"1、根据合同（协议）模版管理组件提供的模板和业务数据生成合同实例（授信合同、借款合同、放款申请书、授权协议、股东会决议等）
2、维护合同实例与进件、客户、授信、用信等的关联关系，管理合同状态（草稿、待签、已签署、生效、归档等）
3、接收签约组件回传的签署结果，将合同状态更新为已签署/生效，并归档合同文本
4、为签约组件提供合同内容查询与渲染数据，为进件管理组件在 SIGNED 状态下的同步策略提供合同终态确认能力"
22,合同（协议）模版管理组件,合同与协议模板管理,"1、维护各类合同与协议模板（包括条款结构、变量定义、打印版/电子版格式等）
2、支持按合同类型、模板编码、版本号、产品、机构等维度进行模板查询与发布
3、为合同管理组件生成合同实例提供模板与变量规则，为签约组件展示合同/协议内容提供结构
4、支持模板版本管理与生效/失效控制，保证不同时间点生成的合同使用正确版本"
23,押品组件,抵质押物管理,"1、维护抵质押物信息（房产、车辆、存单、票据等），包括估值、权证信息、他项权利、监管方式等
2、与授信管理组件、额度管理组件联动，将押品信息纳入授信额度测算与风险评估
3、支持押品入库、变更、解押等全生命周期管理
4、为贷后管理与预警组件提供押品风险监测基础数据"
24,放款组件（办贷端）,放款指令执行与受托支付,"1、接收来自渠道或内部审批的放款指令，对放款要素进行校验（合同、额度、审批有效性等）
2、支持自助放款与受托支付两类场景，受托支付时对收款方信息、支付路径进行校验
3、与核心系统/账务系统对接，落地放款交易与账务处理
4、与用信管理组件、额度管理组件、还款组件联动，更新用信状态与额度占用"
25,还款组件（办贷端）,还款指令处理与账务对接,"1、接收客户侧或内部系统发起的还款指令（正常还款、提前还款、逾期还款等）
2、与核心系统/账务系统对接，完成还款入账、利息与费用结算、罚息计算等
3、更新用信管理组件中的用信状态与还款计划执行情况"
26,风控组件,规则引擎与评分决策执行,"1、承载征信授权准入、预授信、进件准入、三合一审批前风控、签约前风控、提额、放款前风控等各类规则包执行
2、支持多种规则类型：名单、评分卡、策略树、机器学习模型等，可按产品 + 业务阶段配置
3、与征信与外部数据管理组件、评级管理组件、额度管理组件等协同，对客户及交易进行风险评估
4、输出通过/拒绝/转人工等结论以及风险标签，为进件管理、工作流/审批流组件、授信/用信管理组件提供决策结果"
27,利率与费用组件,利率定价、费用计算与调整,"1、维护产品利率、费率、费用项目及计费方式，支持按客户、产品、渠道、营销方案等维度差异化定价
2、在授信审批、用信申请、合同生成等环节提供定价能力，并将结果写入合同与用信记录
3、支持利率/费用调整业务，配合授信管理、工作流/审批流组件进行发起、审批与生效
4、为还款组件计算利息、本金分解、费用摊销提供利率与费用参数"
28,批处理组件,批量作业与定时任务,"1、承载批量数据处理任务，如批量预授信计算、批量额度调增/调减、批量报送准备、批量对账等
2、支持与营销方案管理组件联动，定期对目标客户群进行预授信或营销任务下发
3、支持对征信与外部数据管理组件的数据进行批量更新或清洗
4、提供任务调度、监控、告警能力"
29,征信与外部数据管理组件,征信与多源外部数据接入与管理,"1、统一管理与央行征信、公积金、税务、政采、司法、工商、社保、公积金、第三方信用评分等外部数据源的对接
2、提供单笔实时查询与批量查询能力，并管理授权凭证、调用日志与数据回溯
3、为风控组件、预授信组件、评级管理组件、贷后管理组件等提供标准化数据服务
4、支持外部平台推送白名单、客户信息或业务状态，并将其转换为内部可用数据（如预授信名单、客户自动建档等）"
30,工作流/审批流组件,流程编排与审批控制,"1、定义和执行进件后的路由流程（直通签约、转人工三合一、仅人工审批等）以及审批流程（多级审批、会签、转签、退回、超时等）
2、在节点完成时回调进件管理组件、授信管理组件等更新状态，并触发生成三合一任务、合同与签约任务
3、支撑利率调整、额度调整、额度激活等业务的审批流
4、提供流程监控、待办管理、意见记录、操作审计等能力"
31,贷后管理/预警组件,贷后监控与风险预警,"1、监控贷款账户的还款行为、账户异常、押品价值变化等，结合外部数据对客户进行风险监测
2、根据预警规则生成贷后检查任务或预警工单，下发给客户经理或专职贷后团队处理
3、记录贷后检查结果、处置措施，与评级管理、授信管理、额度管理组件协同进行风险缓释（如下调额度、收紧准入）
4、为监管报送与内部管理提供贷后风险数据"
32,监管报送与报表组件,监管报送与经营分析报表,"1、根据监管要求生成各类监管报表（如贷款五级分类、集中度、涉农、小微等），并支持在线报送或文件输出
2、提供贷前、贷中、贷后多维度经营分析报表，为管理层决策提供支持
3、从客户管理、授信管理、用信管理、额度管理、贷后管理组件等处汇总数据，形成统一数据出口
4、支持定时报送与临时报送任务配置，以及报表版本管理"
