product_code,product_name,intake_type,module,trigger_status,action,is_async,retry_strategy,idempotent_key,enabled,remark
CS_TAX_E,长沙税E贷,LOAN,DRAWDOWN,DISBURSED,FINAL,Y,BATCH_RETRY,"intakeId+drawdownId",Y,"放款完成后终态确认用信记录。"
CS_TAX_E,长沙税E贷,CREDIT,QUOTA,APPROVED,RESERVE,N,IMMEDIATE_ONCE,"intakeId+quotaKey",Y,"审批通过时可按产品策略预占额度。"
CS_TAX_E,长沙税E贷,CREDIT,QUOTA,SIGNED,UPDATE,N,IMMEDIATE_ONCE,"intakeId+quotaKey",Y,"授信合同签署后，将预占额度转换为正式授信额度。"
CS_TAX_E,长沙税E贷,LOAN,QUOTA,DISBURSED,UPDATE,Y,BATCH_RETRY,"intakeId+quotaKey",Y,"按实际放款金额占用额度，更新额度台账。"
CS_TAX_E,长沙税E贷,CREDIT,CONTRACT,APPROVED,INIT,N,IMMEDIATE_ONCE,"intakeId+contractId",Y,"审批通过后生成授信合同草稿，创建签约任务。"
CS_TAX_E,长沙税E贷,LOAN,CONTRACT,APPROVED,INIT,N,IMMEDIATE_ONCE,"intakeId+contractId",Y,"审批通过后生成借款合同草稿，创建签约任务。"
CS_TAX_E,长沙税E贷,ALL,CONTRACT,SIGNED,FINAL,N,IMMEDIATE_ONCE,"intakeId+contractId",Y,"合同签署完成后生效。"

CS_ZC,长沙政采贷,LOAN,CUSTOMER,RECEIVED,INIT,N,IMMEDIATE_ONCE,"intakeId+customerId",Y,"基于政采平台/白名单推送信息，在进件接收时完成客户建档或合并。"
CS_ZC,长沙政采贷,LOAN,CUSTOMER,APPROVED,UPDATE,N,IMMEDIATE_ONCE,"intakeId+customerId",Y,"审批阶段补录法人/股东/联系人信息。"
CS_ZC,长沙政采贷,LOAN,CUSTOMER,SIGNED,FINAL,N,IMMEDIATE_ONCE,"intakeId+customerId",Y,"签约完成时客户资料终态确认。"
CS_ZC,长沙政采贷,LOAN,CREDIT,RECEIVED,INIT,N,NONE,"intakeId+creditId",N,"如设计有总授信，在接收时初始化授信记录；否则可关闭该策略。"
CS_ZC,长沙政采贷,LOAN,CREDIT,APPROVED,UPDATE,N,NONE,"intakeId+creditId",N,"将审批通过的授信结论/订单折算额度写入授信记录。"
CS_ZC,长沙政采贷,LOAN,CREDIT,SIGNED,FINAL,N,NONE,"intakeId+creditId",N,"若有授信合同，在签约后确认授信记录生效。"
CS_ZC,长沙政采贷,LOAN,DRAWDOWN,RECEIVED,INIT,N,IMMEDIATE_ONCE,"intakeId+drawdownId",Y,"按政采订单/合同维度生成用信草稿，挂接订单号/合同号。"
CS_ZC,长沙政采贷,LOAN,DRAWDOWN,APPROVED,UPDATE,N,IMMEDIATE_ONCE,"intakeId+drawdownId",Y,"审批通过时写入用信金额、期限、还款方式等。"
CS_ZC,长沙政采贷,LOAN,DRAWDOWN,DISBURSED,FINAL,Y,BATCH_RETRY,"intakeId+drawdownId",Y,"放款完成后，将用信状态置为生效，并记录实际放款信息。"
CS_ZC,长沙政采贷,LOAN,QUOTA,RECEIVED,INIT,N,IMMEDIATE_ONCE,"intakeId+quotaKey",Y,"根据白名单/订单初步测算可用额度，用于前端展示与风控规则。"
CS_ZC,长沙政采贷,LOAN,QUOTA,APPROVED,UPDATE,N,IMMEDIATE_ONCE,"intakeId+quotaKey",Y,"审批通过后更新订单对应的授信/用信额度。"
CS_ZC,长沙政采贷,LOAN,QUOTA,SIGNED,UPDATE,N,IMMEDIATE_ONCE,"intakeId+quotaKey",Y,"合同签署后进一步锁定合同对应额度。"
CS_ZC,长沙政采贷,LOAN,QUOTA,DISBURSED,FINAL,Y,BATCH_RETRY,"intakeId+quotaKey",Y,"放款完成后按实际放款金额占用额度，确认最终占用台账。"
CS_ZC,长沙政采贷,LOAN,CONTRACT,APPROVED,INIT,N,IMMEDIATE_ONCE,"intakeId+contractId",Y,"审批通过后生成订单融资/借款合同草稿。"
CS_ZC,长沙政采贷,LOAN,CONTRACT,SIGNED,FINAL,N,IMMEDIATE_ONCE,"intakeId+contractId",Y,"合同签署完成后生效，与用信和额度终态确认联动。"
